id	created_at	author	location	full_text	category	sentiment
1.46147E+18	2021-11-18 23:17:20+00:00	The Comically Late Podcast	the comic book multiverse	"not my favorite #eternals story but the art slappssssss! looking for a podcast talking about the 2006 eternals run? check our ep out 😁
.
.
.
#MarvelStudios #Marvel #AgathaHouseOfHarkness #NoWayHome #GreenGoblin #Venom "	a	p
1.46147E+18	2021-11-18 23:16:00+00:00	Carniggus Pro!	Lagos	@MarvelStudios' #Eternals was aweballs.	p	p
1.46147E+18	2021-11-18 23:14:17+00:00	ely✨	Creekwood 	"#eternals fans, you can preorder my Druig and Makkari shirts now!! 

"	e	n
1.46147E+18	2021-11-18 23:13:16+00:00	Paul McDonnell	Plymouth	#eternals was alright.. bring on the Spider-Man next month!	p	x
1.46147E+18	2021-11-18 23:10:38+00:00	Tinsel & Tine	Philadelphia	"Tinsel &amp; Tine Contributor Enrico Versace: The ETERNALS VS The AVENGERS - Gilgamesh is also strong, but he has to manipulate cosmic energy around his limbs in order to produce that kind of strength, which takes energy &amp; time, whereas Hulk is... "	p	n
1.46147E+18	2021-11-18 23:08:20+00:00	Lgma Gaming	Skyrim	Cheering for the #eternals to destroy Earth.	o	n
1.46147E+18	2021-11-18 23:07:10+00:00	Just Jared Jr.		"Check out Harry Styles' new character poster as Eros in Marvel's #Eternals! 

"	h	n
1.46147E+18	2021-11-18 23:04:15+00:00	Promise1D ᴺᴸᶻᴸᴴ ❄️💨☀️💧	"Prunelli-di-Fiumorbo, France"	"Harry in #Eternals really messed my brain up
For a test about mythology today, Eros was on the painting so I wanted to talk about him, but I saw Eros written in English so many times with harry's name I doubted if maybe it was Héros in french
So I didn't talk about Eros at all 🤣"	h	n
1.46147E+18	2021-11-18 23:03:32+00:00	hatake	            정국 지민. she/her!	"@IC4TYUNA Apple 
#gfvip #tzvip #rosmello #prelemi #BTS #followtrick #dispatchcouple #bbtvi21 #Dune #AFazenda #Eternals #Marvel #NoWayHome

"	o	n
1.46147E+18	2021-11-18 23:02:55+00:00	Eternal Jolie 🔥	The Netherlands	Me pretending to be Thena after watching #Eternals 😂 	e	p
1.46147E+18	2021-11-18 23:00:44+00:00	George Machin	"Wellington, New Zealand"	#eternals tomorrow!!!!!	o	n
1.46147E+18	2021-11-18 22:58:25+00:00	SeaWAW.	Asylum	Phenomenal 👏 #Eternals 	o	p
1.46147E+18	2021-11-18 22:55:33+00:00	ProductionHiveUK	UK	"Throughly enjoyed #Eternals. Smart, funny, character driven with wonderful representation. Chloé Zhao keeps an assured hand on the story &amp; elaborate set pieces. It’s a lot of fun too. The negative reaction is bizarre."	o	p
1.46147E+18	2021-11-18 22:53:03+00:00	Not Home Studios		@DiscussingFilm #Eternals is the best #Marvel movie ever.	o	p
1.46147E+18	2021-11-18 22:52:40+00:00	Et		"Spoiler #Eternals

I really explained the myth about Icarus before watching the Eternal,
I did not expect #Ikaris to literally fly into the freaking sun"	p	n
1.46147E+18	2021-11-18 22:52:04+00:00	Eddie	"Los Angeles, Ca"	@THR Can't wait for #Eternals 2	o	p
1.46147E+18	2021-11-18 22:51:50+00:00	series.hellwatcher		OMG I TOTALLY FORGOT TO TELL NO ONE WHO CARES THAT I SAW #ETERNALS TONIGHT!!!	o	p
1.46147E+18	2021-11-18 22:51:48+00:00	Sonia Arri	Colombia	"I fell in love with the villain 🙄
IT ALWAYS HAPPENS, what’s wrong with me? 😩 I need therapy… #Eternals"	o	n
1.46147E+18	2021-11-18 22:49:06+00:00	1D UPDATES	Worldwide 🌎 | Turn Notifs On	"@/MarvelStudios Meet the Royal Prince of Titan, brother of Thanos, the Knave of Hearts, defeater of Black Roger, the great adventurer, Starfox 🤯  

Check out Eros’ brand new character poster and see @/Harry_Styles in Marvel Studios’ #Eternals only in theaters NOW! "	e	p
1.46147E+18	2021-11-18 22:48:56+00:00	𝕿𝖗𝖆𝖟𝖞	Gotham 	I’m not into the Harry Styles grew up with Thanos story. It doesn’t sound believable. Thanos would have become annoyed by him and would have killed him 😂🤣😂 #Eternals   #MarvelStudios #SpiderManNowWayHome #HarryStyles #Thanos #Disney #MCU 	h	x
1.46147E+18	2021-11-18 22:48:09+00:00	M	ғᴀɴᴛᴀsʏᴡʀʟᴅ♥	"ladies and gentleman .. ✨ h i m ✨ @BarryKeoghan #barrykeoghan #Eternals #Druig #MarvelStudios i made this y’all, on tiktok.. go and like if you want ! :) "	e	p
1.46147E+18	2021-11-18 22:47:56+00:00	Alden on Ahch-To Radio 🎙	"Florida, USA"	"I had such a blast talking to @EthanSimmie about #Eternals. A film that has so much to say, so much to engage with, &amp; so much to love. Great, thoughtful conversation. 🎙- Alden "	p	p
1.46147E+18	2021-11-18 22:45:41+00:00	TheHipsterZOMBIEJointExp		"It’s Starfox!
Repost from @heroichollywood
•
#HarryStyles joins the MCU as #Eros AKA #StarFox the brother of Thanos in this #Eternals poster! 🦊 "	h	p
1.46147E+18	2021-11-18 22:45:35+00:00	blvnklust	they/them	flopped on tiktok so I’m leaving it here 🤲🏿 #Eternals 	o	p
1.46147E+18	2021-11-18 22:43:36+00:00	Norman Felker		"The final episode focuses on the final battle and conclusion of the film. This has been my thought exercise on #Eternals. Checkout my actual thoughts on the film on our podcast, @TheVerseCast. Hit us up with your thoughts and maybe stick around to listen to other episodes."	p	n
1.46146E+18	2021-11-18 22:42:30+00:00	Peter Pischke-Friendly Neighborhood Journo	Kamurocho	"Like I wrote in my review,

""It’s a bad sign when the top reason for MCU fans to see your new movie is a mid-credits sequence featuring one drunk, poorly rendered CGI hobbit and that guy from One Direction that goes to posh parties in a dress.""
"	p	x
1.46146E+18	2021-11-18 22:41:05+00:00	Daryl Millar	"Suffolk, UK"	"Question about the final post-credits scene after #Eternals:

What's it hinting at? Captain Britain?"	p	n
1.46146E+18	2021-11-18 22:40:17+00:00	.Judy.		"Celebrating L'Art &amp; La Matière alongside the Guerlain family, Guerlain Muse &amp; #WomenForBees Godmother #AngelinaJolie shared a tender moment on the LA red carpet with her own Godmother, actress #JacquelineBisset

#ArtetMatière #Eternals #Thena #WomenBeekeepers  @Guerlain #Guerlain "	c	p
1.46146E+18	2021-11-18 22:39:49+00:00	Moustafa Elhadary		They made @Harry_Styles an #Eternals Poster now that it’s been out for a bit and people know he’s in the end credit scene 😍😍😍🙌🏼🙌🏼🙌🏼 #HarryJoinsTheMCU 	h	p
1.46146E+18	2021-11-18 22:39:46+00:00	The Hollywood Reporter	"Hollywood, CA"	Harry Styles gets his own poster for his role as Eros in #Eternals	h	p 
1.46146E+18	2021-11-18 22:38:04+00:00	omidokasuo		"#hasbro #eternals #thena #actionfigures #toyphotography #target Disney buy 2 get 1 free

#indie #cosplay #cosplayer #ps5 #ps4 #digitalart #art #anime #animation "	e	n
1.46146E+18	2021-11-18 22:37:00+00:00	Rotten Tomatoes	Los Angeles	#Eternals is the most popular movie on our site for the second consecutive week.	o	p 
1.46146E+18	2021-11-18 22:34:31+00:00	marti ϟ४ | deancas	Jotunheim	"parents 
#eternals "	o	n
1.46146E+18	2021-11-18 22:33:07+00:00	Marvel Memes	Asgard	"Dark Way Home.

#MCU #Avengers #Marvel #Loki #Multiverse #Eternals #SpiderMan "	p	n
1.46146E+18	2021-11-18 22:33:02+00:00	DeadpoolisBack 3.0	probably in space or something	"Queen Medusa drops into Action #INHUMANSday December 4th @Marvel @MarvelStudios @Kevfeige
@Disney @disneyplus #Marvel #MarvelStudio #WhatIf #Inhumans #Medusa #Lockjaw #ShangChi #Eternals #Hawkeye #katebishop #SpiderMan #SpiderManNoWayHome #Disney #DisneyPlus art by 
#JimCheung "	o	n
1.46146E+18	2021-11-18 22:30:46+00:00	JayeshM	LDN	Get yourself a best friend like @nitin_suriacant ❤️‍🔥 #Eternals last movie date till next year🥺 	o	p
1.46146E+18	2021-11-18 22:30:29+00:00	Marvel vs. DC		"Minor #Eternals spoilers ahead!
"	p	n
1.46146E+18	2021-11-18 22:30:03+00:00	NotTheOnlyOne	Miami 🌴☔️🔥	Did I just order the #Eternals Urban Decay palette? Yes. 	o	p
1.46146E+18	2021-11-18 22:26:38+00:00	ETERNALS BRASIL | HOJE		THREAD: Mochilas de #Eternals	o	n 
1.46146E+18	2021-11-18 22:26:17+00:00	be gay 👏 practice necromancy 🙏	United States	"Ikaris - the boy who flew too close to the Sun
#Eternals "	e	p
1.46146E+18	2021-11-18 22:26:03+00:00	Superconnectivity	Capes and Lunatics Podcast	Superconnectivity Episode #367	o	n 
1.46146E+18	2021-11-18 22:25:49+00:00	Dome W. 🏳️‍🌈	"Frankfurt am Main, Deutschland"	Just bought my ticket for #Eternals on Saturday.	o	n 
1.46146E+18	2021-11-18 22:24:06+00:00	Movie Man		Tonight’s viewing was the #Eternals	o	n 
1.46146E+18	2021-11-18 22:22:53+00:00	Phil Perich	"Pittsburgh, PA"	.@Superconnectpod Episode #367	o	n 
1.46146E+18	2021-11-18 22:22:48+00:00	Eurisko		"Eternals was WAAAAY too long. You could have told that story in half the time. 
My least favourite MCU film by far. #Eternals"	p	x
1.46146E+18	2021-11-18 22:19:07+00:00	Mayam 👑🌻✨	Space	The more I think about it the more I realise #eternals and #StevenUniverse are the same thing in different fonts.	o	n
1.46146E+18	2021-11-18 22:18:35+00:00	chyenne tatum ✧	"Chicago, IL"	"finally reading this piece from @katxmoon on #Eternals and it's soo insightful! i also just really adore #Makkari lol
"	e	p
1.46146E+18	2021-11-18 22:18:02+00:00	Justice Three Gaming	"Tampa, FL United States"	Today In RTA [Marvel Strike Force] 11/17 - MSF	o	n 
1.46146E+18	2021-11-18 22:17:59+00:00	🍁 Zach Sally 🍁	"Minneapolis, MN"	I’m watching #Eternals	o	n 
1.46146E+18	2021-11-18 22:10:50+00:00	Gareth Davey	Swansea	"Seeing #dune the same week as #Eternals makes you realise how good #denisvilleneuve is as a director, and how underwhelming their most recent #marvel film is"	p	x
1.46146E+18	2021-11-18 22:06:01+00:00	Mr.Manifesto	England	"Please go see the #Eternals I highly recommend it! 
It is better than what the critics say
#MarvelStudios #Marvel "	p	p
1.46146E+18	2021-11-18 22:04:21+00:00	Pinkvilla	"Mumbai, India"	"#MarvelStudios officially RELEASES #Eternals poster for #HarryStyles' Eros character; See
"	h	n
1.46146E+18	2021-11-18 22:03:55+00:00	Mouth	"London, England"	"Loved Eternals, but I guess I was always going to… don’t believe the haters - it’s a film ahead of it’s time 😜 #Eternals"	p	p
1.46145E+18	2021-11-18 22:02:53+00:00	єℓ мι∂ωιиgσ		Namor looking at a giant damn Celestial in his ocean like: #Eternals	e	p 
1.46145E+18	2021-11-18 22:02:19+00:00	kea | ⊗ ⎊ | eternals era	{she/her} | 18 | black 	"#Eternals  spoilers
-
-
and when i get to see the hd version of this scene again &gt;&gt;&gt; "	p	p
1.46145E+18	2021-11-18 22:01:37+00:00	✏️NIL-Tech Art Tools & Feature	New York	"Ikaris
""It's The Only Path I Know.""

Learn to Draw Ikaris from The Eternals
"	e	p
1.46145E+18	2021-11-18 22:01:10+00:00	The Christian Comic Arts Society		"This livestreaming event starts Thursday, November 18th (11/18) at 7pm Pacific / 9pm Central / 10pm Eastern.

#eternals #avengers #marvel #mcu #marvelcomics #marvelstudios #marvelcinematicuniverse #disneyplus #captainamerica #loki  #comics #comicbooks #comicbook #superhero"	o	n
1.46145E+18	2021-11-18 21:59:47+00:00	Friggin' Nerds Media	Avengers Campus 	"Alright y'all, you heard us talk about it on our podcast this week...Now, is Y'ALL's chance to tell us who you think would win in the VERSUS matchup between Makkari and The Flash! 

Head-to-head battle, who would win!?

Make sure you listen in for our votes!

#Eternals #Flash"	e	n
1.46145E+18	2021-11-18 21:59:36+00:00	"Cal 200 w Vani, Mikey Day"	Heart Eyes Only 4 Tyler Joseph	"Stream #SpotifyLyrics
#Spotify
#Eternals
#uominiedonne
#Amicispoiler
#Amici21 #RedTaylorsVersion #gfvip #LoveOnTourLA
#Violination

"	o	n
1.46145E+18	2021-11-18 21:58:42+00:00	👨‍🏫 Mr Chalk	"Hat Yai, Thailand"	Eternals - awesome movie! Recommend. #Eternals	p	p
1.46145E+18	2021-11-18 21:57:44+00:00	BoxOfficeReport.com	"California, USA"	"Eternals grossed $1.61M on Wednesday (from 4,090 locations).  Total gross stands at $123.61M.

#Eternals  #BoxOffice  @MarvelStudios  @TheEternals"	m	n
1.46145E+18	2021-11-18 21:57:39+00:00	jamal 🍂	he/him 18 black	CELESTIAL? watch #eternals in theaters now!	e	p
1.46145E+18	2021-11-18 21:56:38+00:00	15 Minutes of Marvel	Portland	"✨ new patreon episode of the pod ✨

Alden Diaz of @AhchToRadio joined me to take a deep dive look at #Eternals  and EVERYTHING surrounding it!

$2/month gets you access to this and tons of other bonus episodes of the pod! go check it out! 👀

"	o	n
1.46145E+18	2021-11-18 21:55:23+00:00	Kat Mullen	"Melbourne, Victoria"	"#Eternals Spoilers
Now that the offical accounts aren’t hiding it

I say this as both a Marvel &amp; Harry Styles fan:

If the rest of his world tour continues to get delayed so he can fly around the universe, I’m gonna be pissed. GIVE US THE DATES ALREADY"	h	x
1.46145E+18	2021-11-18 21:54:24+00:00	🖤	where the money resides.	this laser eye folk is deffo CAP. he’s lying about something! #Eternals	e	p
1.46145E+18	2021-11-18 21:54:12+00:00	nic :)	watching tv shows 	We should talk about this more #Eternals	o	p 
1.46145E+18	2021-11-18 21:53:11+00:00	Jo-Anne Daigle	"QC, Canada"	@MrsAnneTwist So proud to see @HarryStyles 🟢 on the big screen #Eternals #MCU #Eros	h	p
1.46145E+18	2021-11-18 21:49:57+00:00	AIPT	"Boston, MA"	"EXCLUSIVE Marvel Preview: Symbiote Spider-Man Crossroads #5 - KARNILLA RULES! Featuring #SpiderMan, #Eternals, #Hulk, and #DoctorStrange!
#comics #Marvel @DannyKhazem @Marvel 
Out next week #NCBD, read the preview here:
"	e	p
1.46145E+18	2021-11-18 21:48:59+00:00	Suad Ashimi	Nigeria/UAE/Qatar 	Just watched #Eternals. I really don't know what to say.	p	n 
1.46145E+18	2021-11-18 21:45:42+00:00	Cailín Kelly 🌻	she/they	"If this makes one person laugh besides me, I will consider it a success. #Eternals #Ikaris"	e	p 
1.46145E+18	2021-11-18 21:43:44+00:00	Wendy	Egypt	"I thought he’s Dylan O’Brien 💀💀

#Eternals "	c	n
1.46145E+18	2021-11-18 21:41:15+00:00	h for how long until xmas? 🎄 🎁	she/her • black • 22	kinda got bored and can’t find any audios so rn my default is watching videos of angelina jolie #thena #eternals	c	p 
1.46145E+18	2021-11-18 21:38:59+00:00	The Amazing Nerd Show	"Chicago, IL"	"Ep 201! This week we review #Eternals  &amp; recap all the #Marvel &amp; #StarWars news from #DisneyPlusDay ! All the #SpiderManNowWayHome news &amp; #SquidGame S2! Plus #AEWFullGear talk! #horror #podcast #podernfamily #MCU 
"	o	n
1.46145E+18	2021-11-18 21:38:43+00:00	📁 @_agentofcha0s		"#AngelinaJolie #thena #eternals 
-just some random tags- 
#Multiverse #KateBishop #PizzaDog #NoWayHome #EternalsGilgamesh #Ikaris "	e	n
1.46145E+18	2021-11-18 21:34:34+00:00	mayamada ⏩ Thought Bubble Nov 13-14	London	"You can catch today's Story x Story #podcast online now!

Nigel and @Tazziii chatted with @megacitycomics, @battou, @LeonEverett for a very deep dive into Marvel's #Eternals!

"	o	n
1.46145E+18	2021-11-18 21:32:06+00:00	Michelle Benson	"Glasgow, Scotland"	"Now that things at home have settled, I'm headed back to the cinema tomorrow, finally seeing #Eternals then on Monday group trip to see #GhostbustersAfterlife"	o	n 
1.46145E+18	2021-11-18 21:28:07+00:00	Jᴜʟɪᴀ Qᴜɪɴᴢᴇʟ ⴵ		"#THENA; Bad Girl
.
.
[#Eternos #Eternals thena edit thena fancam angelina jolie] "	e	p
1.46145E+18	2021-11-18 21:25:37+00:00	Cool Toys UK	United Kingdom	"Crossing the streams! 

#MarvelLegends Kingo (Eternals) 

#Kingo #Marvel #MCU #Eternals #TheEternals #HasbroToyPic #Hasbro #HasbroPulse #toyphotography #toyfantalent #toys #actionfigures #toycollecting "	o	p
1.46145E+18	2021-11-18 21:24:27+00:00	Luke J Wilson	"Doncaster, United Kingdom"	"#Eternals was pretty great. Definitely not like the usual Marvel formula though so I can understand why it's divisive. Great character work, and sets up some cool lore and stuff for the future."	p	p
1.46145E+18	2021-11-18 21:23:47+00:00	Dog Report Item: TASK the Ol’ Nerdy Bastard	I Don’t Belong Here…	"#Eternals: *Leaves*

Namor &amp; Atlanteans:  "	e	p
1.46144E+18	2021-11-18 21:20:16+00:00	Costumes and Props	"Los Angeles, California"	Take a look at #SalmaHayek's #Ajak movie costume from #MarvelStudios #Eternals on display	a	p 
1.46144E+18	2021-11-18 21:19:00+00:00	The Last Comic Shop		"This month in #comicbook history: November 1960 saw the birth of Neil Gaiman, British #comics author best known for #Sandman. Check out our review of his work on the #Eternals!"	o	p 
1.46144E+18	2021-11-18 21:18:51+00:00	MissPirateO'Connell	Somewhere	"No wonder Thanos was so bitter, he has a brother who's literally perfect. Genetics did not favor him, I'm afraid. 🤣😂😅😘💕 #HarryStyles #Eternals #Starfox"	e	p 
1.46144E+18	2021-11-18 21:17:38+00:00	victor ⌨️	"San Diego, CA"	Who would win? #eternals	e	n
1.46144E+18	2021-11-18 21:17:26+00:00	eternals comfort	Domo	#Eternals's cinematography	a	p 
1.46144E+18	2021-11-18 21:17:13+00:00	Rob	"Phoenix, AZ"	🤩🤩🤩 can’t wait to see @Harry_Styles in more @MarvelStudios films! #Eros #Eternals	h	p 
1.46144E+18	2021-11-18 21:16:41+00:00	Drakoniccat@MFF	It varies from moment t moment	"Inside of you there are two wolves...
#Druig #Makkari #Marvel #Eternals "	e	p
1.46144E+18	2021-11-18 21:13:16+00:00	ava simone	ur local movie theatre	y’all i’ve seen #Eternals four times already i really love that movie	o	p
1.46144E+18	2021-11-18 21:09:52+00:00	Jason (Moderna. One Piece stan)	"Atlanta, GA"	@Armageist1 @4Kamere_Spicy @isaacmijangos @AwesomEmergency They showed it cause destruction underneath the sea. There is a rumor that says that this is what causes Namor make himself known to the world in Black Pa the Wakanda Forever. #Eternals	p	n
1.46144E+18	2021-11-18 21:07:29+00:00	Palace Off the Top Rope	"San Antonio, Texas"	Episode 127 - Surviving Eternals	o	n 
1.46144E+18	2021-11-18 21:07:27+00:00	jade ⧗ | in love with Nat and Wanda	🇮🇹 ・ infj ・ she/her	I LOVE THEM 😭❤️ #Eternals	e	p 
1.46144E+18	2021-11-18 21:07:23+00:00	Tia C. Arango 🇨🇻	🌍	"Just saw #Eternals 

Loved it."	o	p
1.46144E+18	2021-11-18 21:07:21+00:00	Luis Rodriguez		Eternal is Top 5 MCU and the critics were wrong	p	p 
1.46144E+18	2021-11-18 21:07:18+00:00	Kayleigh Cooper ⚔️✨	United Kingdom	"@AlfWritesComics and I went to watch #Eternals today, and can I just say... I love"	o	p 
1.46144E+18	2021-11-18 21:01:08+00:00	/Film	"Hollywood, CA"	"They might’ve been left on the cutting room floor, but maybe these cut #Eternals characters could still show up in the MCU."	e	p 
1.46144E+18	2021-11-18 21:00:43+00:00	Integrity Marketing Group	"Dallas, TX"	"He is not one of the #Eternals, but Neishloss &amp; Fleming has the origin story of the greatest superhero Game Time has ever seen. Watch this incredible video from our Mascot Activity Challenge! #IntegrityGameTime2021 #IntegrityFamily @nfinc"	e	p 
1.46144E+18	2021-11-18 21:00:01+00:00	metacritic	California	Eternals [Metascore: 52; User Avg: 6.6] 		
1.46144E+18	2021-11-18 20:56:44+00:00	Jesse Hawken	Toronto	I am back on the streets. I saw #Eternals in a completely empty cinema. Now heading home... to let it MARINATE	o	n 
1.46144E+18	2021-11-18 20:56:37+00:00	Scott	"South East, England"	"Close to my take. Decent overall concept gives it some intrigue at least. Mix bag of characters, some of whom seem pointless. #Eternals"	e	x 
1.46144E+18	2021-11-18 20:54:20+00:00	Phil Daniel		"#Eternals has landed at no.16 on my official MCU ranking. Not too shabby.
#MCU "	p	x
1.46144E+18	2021-11-18 20:49:56+00:00	Salim		"🚨Episode from last night. @NinjaChortle &amp; @Salim_BGhoops talked about the new Spider-Man preview, their thoughts on Eternals, and the new mcu Disney+ shows.

Check it out!

YT: "	o	n
1.46144E+18	2021-11-18 20:49:28+00:00	Christina Obi-Wan Gandalf	"Ramtown, NJ"	Well apparently muting every word related to #Eternals really does work.  I just saw the movie.  The ending! Eros? Harry styles?!?! Hot damn!  Thanos has a brother? So many questions.  #HarryStyles 		
1.46144E+18	2021-11-18 20:48:10+00:00	2013venjix	"Ronkonkoma, NY"	"Going @onedirection to a NEW direction,  Welcome to the #MarvelCinematicUniverse (or #MarvelCinematicMultiverse) Mr. #HarryStyles! 

#Starfox #Eternals "	h	n
1.46144E+18	2021-11-18 20:47:21+00:00	Multiverse of Mike-ness	"Bedlington, England"	The new second episode of Silver Screen Podcast is now available on YouTube to watch any time. Myself &amp; @dark_sonic2002 review #Eternals &amp; rate #MarvelStudios Phase 4 so far. There's some thoughtful analysis but also things get nerdy. Catch it here:	o	n 
1.46144E+18	2021-11-18 20:46:13+00:00	Mr. Dude_o_o	Where the heart is...	"@perpetua @jessehawken Speaking of Druig, I guess he made Jesse to see The #Eternals."	e	p
1.46144E+18	2021-11-18 20:46:01+00:00	shar🌸⚔️🩸	she/her	Angelina crying on screen immediately made me bawl my eyes out lol #Eternals that woman 😭	c	p
